  2 39 54  287  1
  2 41 13  437  1
  2 51 17  158  2
  2 55 44    3  3
  2 55 27  241  2
  3  1 25  405  3
  3  8 47  356  2
  3 27 15  340  1
  3 35 15    3  3
  3 52 44  285  1
  4  5 28  279  2
  4 17 37  146  1
  4 23 31  265  3
  4 30  9  479  1
  4 40 31  257  3
  4 47 30  179  2
  4 54 29  348  3
  5  3 30   71  2
  5 21  0  227  3
  5 25 20  190  1
  5 37 21   74  3
  5 42 41  332  3
  5 51 24   89  3
  6  1 39  250  3
  6 20  5   83  1
  6 32 20  404  3
  6 43  4  386  2
  6 44 16  151  2
  6 44 17  440  2
  7  2  3  311  2
  7 20 25  438  1
  7 21 48  390  1
  7 21  7  223  1
  7 34 50  103  2
  7 37 36  201  3
  7 54  9  452  3
  8  7 32  392  3
  8 24 25  173  3
  8 34 10  106  2
  8 35 39  379  3
  8 42 32   77  1
  8 53 58  129  1
  8 55 25  372  1
  8 57 52  426  1
  9 12 45   18  1
  9 18 10   81  1
  9 20 16  189  3
  9 28 56  368  1
  9 38 15  477  2
  9 46 14  314  3
 10  5 45  158  2
 10  7 44  313  3
 10  9  0  358  2
 10 21  3  304  3
 10 29 26  308  3
 10 45 17  150  2
 10 55 56   10  2
 10 58 13  165  1
 11  6 19  308  3
 11 21 37  492  3
 11 31 33   46  1
 11 40 19  321  1
 11 42 44  374  2
 11 46 48  424  1
 11 58  0  288  3
 12  2 52   62  1
 12  6  4   93  3
 12 14 12  215  1
 12 33  5  209  2
 12 41 10  217  1
 12 51 15  289  1
 13  3 36  299  2
 13 22 42  449  3
 13 41 46  331  1
 13 53 54   78  1
 14  9 56  447  1
 14 26 27  493  1
 14 43 28  216  2
 14 49 54   10  3
 15  8 46   22  3
 15 14 10  418  1
 15 26 11  129  2
 15 36 48   82  3
 15 37 13  488  1
 15 45 40  338  3
 15 53 10  485  3
 15 53 13  219  3
 16 12 45  250  2
 16 15  9  382  3
 16 30 11   63  1
 16 37 14  218  1
 16 51  7   45  1
 16 55 42  442  3
 17  9 35  296  3
 17 11  1  192  3
 17 30 21   11  3
 17 47 30  315  2
 17 48  3  375  2
 18  3 33  354  3
 18 18 39  271  3
 18 27 11   22  3
 18 32 16  331  1
 18 39 17  424  3
 18 50 47  276  3
 19  9 41  449  3
 19  9 18  449  3
 19 12 12  149  1
 19 24 28  154  1
 19 28 19  325  2
 19 34 31  211  2
 19 45 17  204  3
 20  0 17  353  2
 20  3  2  273  3
 20 20 49  310  3
 20 21  0  252  1
 20 38 11  125  2
 20 41 33  152  2
 20 43 14  131  1
 20 49 53   76  3
 20 56 50  264  2
 21  8 38  335  3
 21 21 50  158  3
 21 39 51  370  3
 21 50 11  256  2
 21 58 49  494  1
 22  1 21  261  3
 22 13 58  143  3
 22 25  7  362  2
 22 35 32  206  1
 22 41 43  332  1
 22 56 27  468  1
 23  4 48  260  3
 23 21 55  469  2
 23 28 18  341  3
 23 41 59  497  3
 23 49 50  218  3
 24  6 33  447  1
 24  8 28   45  1
 24 27 12   69  1
 24 40 54  221  2
 24 56 39  149  1
 25 12 47   92  3
 25 25 25   24  3
 25 25 18  270  1
 25 43  4  177  1
 25 46 51  184  3
 25 59 20  382  3
 26  1 10  434  2
 26  9 26  399  1
 26  9  0  338  2
 26 25 27  361  2
 26 38 47  330  3
 26 53 37  237  2
 27  8 46   10  3
 27 11  9  246  1
 27 19 35  300  2
 27 35 40  107  3
 27 40  3  274  1
 27 42 53  211  3
 27 47 30  155  3
 27 48 20  330  3
 27 52 28  494  1
 27 52 22  455  3
 27 57 17  126  2
 28 11 19  184  1
 28 24 46  309  1
 28 24 39  491  2
 28 38  2  105  2
 28 54 14   77  3
 28 58 26  409  3
 28 58 52   90  1
 29 17 45   93  2
 29 34 25   67  2
 29 41 52  454  1
 29 49 34  452  1
 30  7 11  215  3
 30 24 18  230  1
 30 42 47  275  1
 31  0 58  261  3
 31 12 50   92  3
 31 17 33  215  1
 31 28 54  130  3
 31 40 45  328  3
 31 59 26  430  2
 32 17  0  456  3
 32 31 19  179  2
 32 35 16  100  2
 32 53 36  120  2
 33  3 28  113  2
 33 20 19  164  1
 33 34 36  379  3
 33 37  2  297  3
 33 38 49  288  2
 33 38 55  422  3
 33 43 42   30  1
 33 59 40   45  1
 34  7 21  268  3
 34 12  7   25  1
 34 20 16  426  3
 34 32  3   77  1
 34 44 56  477  2
 34 48 57  139  1
 35  6 21  464  1
 35 24 41  214  3
 35 27 32  445  3
 35 38 15   89  3
 35 50 28  241  2
 36  3 29  365  2
 36  8 41   68  1
 36 10  4  179  2
 36 27  0  106  2
 36 46 43  276  2
 36 57 49  468  2
 37 12 33  103  2
 37 28  4  459  3
 37 30  1  202  2
 37 49 45  360  1
 38  3 13  225  1
 38  6 12  183  1
 38 23  2  126  2
 38 35 17  148  1
 38 44 35  491  1
 39  3 17  169  1
 39 22 15    0  3
 39 23 55  214  3
 39 39 22  174  3
 39 47 20  447  3
 40  6 35  229  1
 40 21 11   90  1
 40 38 49  318  2
 40 39 41   18  3
 40 55 25   78  2
 41  0 35  477  1
 41  5 30   25  1
 41 18 40  175  3
 41 31  5  492  3
 41 33 11  421  1
 41 37 30   56  2
 41 42 23  411  1
 41 59 53  164  3
 42  9 17   58  1
 42 24  9  420  1
 42 36 12  167  1
 42 36  5  428  1
 42 51 26  294  3
 43  3 26   49  2
 43 12 16  276  2
